business_name,market_position,years_in_business,total_reviews,review_velocity,average_rating,has_website,instagram_followers
Cafe Niloufer,Leader,48.0,7635.0,159.06,4.3,1.0,41561.0
Roastery Coffee House,Leader,9.0,15295.0,1699.44,4.4,1.0,0.0
Roast CCX - Coffee & Culinary Xperience,Leader,2.0,5770.0,2885.0,4.6,1.0,0.0
Conçu Jubilee Hills,Leader,14.0,8251.0,589.36,4.5,1.0,118.0
Habitat Cafe,Leader,2.0,6275.0,3137.5,4.5,1.0,0.0
F3 Café,Leader,7.0,1500.0,214.29,4.4,0.0,1342.0
HC Café (Drive Through Outlet),Challenger,5.0,140.0,28.0,4.9,0.0,0.0
SAGE Farm Cafe,Challenger,9.0,873.0,97.0,4.3,1.0,0.0
Lemerian Workin Cafe,Challenger,3.0,1008.0,336.0,4.7,1.0,2723.0
Thrivesome Cafe Co,Challenger,2.0,208.0,104.0,4.8,1.0,0.0
Mikro Neighbourhood Cafe,Challenger,3.0,155.0,51.67,4.4,0.0,37910.0
